sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
56,30,legislate,139,148,VB,VB,9,legisl
56,31,in,148,150,IN,IN,8,in
56,32,the,150,153,DT,DT,6,the
56,33,event,153,158,NN,NN,6,event
56,34,of,158,160,IN,IN,6,of
56,35,a,160,161,DT,DT,5,a
56,36,repeal,161,167,NN,NN,5,repeal
56,37,",",167,168,",",",",15,","
56,38,then,168,172,RB,RB,14,then
56,39,it,172,174,PRP,WP,14,it
56,40,will,174,178,MD,MD,14,will
56,41,be,178,180,VB,VB,13,be
56,42,the,180,183,DT,DT,11,the
56,43,Oireachtas,183,193,NNPS,NN,11,Oireachta
56,44,that,193,197,WDT,WDT,10,that
56,45,will,197,201,MD,MD,9,will
56,46,decide,201,207,VB,VB,8,decid
56,47,",",207,208,",",",",16,","
56,48,not,208,211,RB,RB,16,not
56,49,necessarily,211,222,RB,RB,14,necessarili
56,50,this,222,226,DT,DT,13,thi
56,51,one,226,229,NN,NN,13,on
56,52,either,229,235,RB,RB,13,either
56,53,",",235,236,",",",",17,","
56,54,but,236,239,CC,CC,17,but
56,55,possibly,239,247,RB,RB,15,possibl
56,56,a,247,248,DT,DT,15,a
56,57,changed,248,255,VBD,VB,15,chang
56,58,Oireachtas,255,265,NNP,NN,13,Oireachta
56,59,following,265,274,VBG,VB,13,follow
56,60,a,274,275,DT,DT,12,a
56,61,general,275,282,JJ,JJ,12,gener
56,62,election,282,290,NN,NN,12,elect
56,63,.,290,291,.,.,18,.
57,0,All,0,3,DT,DT,16,All
57,1,we,3,5,PRP,WP,14,we
57,2,can,5,8,MD,MD,14,can
57,3,do,8,10,VB,VB,13,do
57,4,is,10,12,VBZ,VB,17,is
57,5,be,12,14,VB,VB,16,be
57,6,honest,14,20,JJ,JJ,15,honest
57,7,with,20,24,IN,IN,14,with
57,8,people,24,30,NNS,NN,12,peopl
57,9,about,30,35,IN,IN,12,about
57,10,what,35,39,WP,WP,10,what
57,11,we,39,41,PRP,WP,9,we
57,12,believe,41,48,VBP,VB,9,believ
57,13,the,48,51,DT,DT,5,the
57,14,Oireachtas,51,61,NNPS,NN,5,Oireachta
57,15,in,61,63,IN,IN,5,in
57,16,its,63,66,PRP$,WP,4,it
57,17,current,66,73,JJ,JJ,4,current
57,18,composition,73,84,NN,NN,4,composit
57,19,would,84,89,MD,MD,6,would
57,20,pass,89,93,VB,VB,5,pass
57,21,in,93,95,IN,IN,4,in
57,22,the,95,98,DT,DT,2,the
57,23,event,98,103,NN,NN,2,event
57,24,of,103,105,IN,IN,2,of
57,25,a,105,106,DT,DT,1,a
57,26,repeal,106,112,NN,NN,1,repeal
57,27,.,112,113,.,.,18,.
58,0,I,0,1,PRP,WP,10,I
58,1,urge,1,5,VBP,VB,10,urg
